"A" "R" "E" "O" "S" "T"
"1" "adult" "big" "high" "emp" "F" "car"
"2" "adult" "small" "uni" "emp" "M" "car"
"3" "adult" "big" "uni" "emp" "F" "train"
"4" "adult" "big" "high" "emp" "M" "car"
"5" "adult" "big" "high" "emp" "M" "car"
"6" "adult" "small" "high" "emp" "F" "train"
"7" "adult" "big" "high" "emp" "F" "car"
"8" "young" "big" "uni" "emp" "F" "train"
"9" "adult" "big" "high" "emp" "F" "car"
"10" "young" "big" "high" "emp" "M" "train"
"11" "adult" "big" "high" "emp" "F" "train"
"12" "adult" "big" "high" "emp" "F" "train"
"13" "young" "big" "high" "emp" "F" "car"
"14" "young" "big" "high" "emp" "M" "car"
"15" "old" "big" "high" "emp" "F" "train"
"16" "young" "big" "high" "emp" "F" "car"
"17" "adult" "big" "high" "emp" "M" "car"
"18" "adult" "big" "high" "emp" "F" "car"
"19" "adult" "small" "high" "emp" "F" "other"
"20" "adult" "small" "high" "emp" "F" "car"
"21" "old" "small" "high" "emp" "F" "train"
"22" "old" "small" "high" "emp" "F" "car"
"23" "young" "small" "high" "emp" "M" "car"
"24" "old" "small" "high" "emp" "M" "car"
"25" "adult" "big" "high" "emp" "M" "train"
"26" "old" "big" "high" "emp" "M" "car"
"27" "old" "big" "high" "emp" "F" "other"
"28" "adult" "small" "high" "emp" "M" "car"
"29" "adult" "big" "high" "emp" "F" "car"
"30" "old" "small" "high" "emp" "F" "car"
"31" "adult" "big" "high" "emp" "F" "car"
"32" "young" "big" "high" "emp" "F" "car"
"33" "adult" "big" "uni" "emp" "M" "car"
"34" "young" "big" "high" "emp" "M" "car"
"35" "old" "big" "high" "emp" "M" "other"
"36" "young" "big" "uni" "emp" "F" "other"
"37" "old" "big" "high" "emp" "M" "car"
"38" "adult" "big" "high" "emp" "F" "car"
"39" "adult" "big" "uni" "emp" "M" "train"
"40" "young" "big" "high" "emp" "M" "train"
"41" "adult" "big" "high" "emp" "F" "car"
"42" "young" "big" "high" "emp" "F" "train"
"43" "old" "big" "high" "emp" "M" "train"
"44" "young" "small" "uni" "emp" "M" "other"
"45" "adult" "big" "high" "emp" "M" "car"
"46" "old" "big" "high" "emp" "M" "train"
"47" "old" "big" "high" "emp" "M" "car"
